"ID_CARGO";"ID_ENTIDAD";"ORDEN";"CARGO";"FECHA_INI";"FECHA_FIN";"NOMBRE";"EDIFICIO";"DIRECCION";"CP";"LOCALIDAD";"PROVINCIA";"TELEFONO";"BIOGRAFIA";"FOTO_PATH";"FOTO_NOMBRE";"EMAIL";"PUBLICADO";"COOR_X";"COOR_Y";"PAGINA_WEB";"PAGINA_WEB_TITULO";"RNUM";
"717";"733";"1";"DIRECTOR DEL INSTITUTO GEOGRÁFICO DE ARAGÓN";"";"";"Fernando Germán López Martín";"Edificio Pignatelli";"Paseo María Agustín, 36";"50071";"Zaragoza";"Zaragoza";"976715576   ";"";"";"";"";"1";"";"";"";"";"1";
"719";"738";"1";"JEFE/A DEL SERVICIO  DE AUTORIZACIONES ADMINISTRATIVAS Y SANCIONES";"";"";"María Elena Pérez Aparicio";"Edificio Pignatelli";"Paseo María Agustín, 36";"50071";"Zaragoza";"Zaragoza";"976715630   ";"";"";"";"";"1";"";"";"";"";"2";
"735";"759";"1";"JEFE/A DEL SERVICIO DE ESTUDIOS, ANÁLISIS E INFORMACIÓN";"";"";"Luis Miguel Ginto Lacarcel";"Edificio de la Plaza  San Pedro Nolasco";"Plaza San Pedro Nolasco, 7";"50071";"Zaragoza";"Zaragoza";"976714165   ";"";"";"";"";"1";"";"";"";"";"3";
"723";"674";"1";"DIRECTOR DE COMUNICACIÓN";"";"";"Jose Ignacio Daudén Tallaví";"Edificio Pignatelli";"Paseo María Agustín, 36";"50071";"Zaragoza";"Zaragoza";"976714169   ";"";"";"";"";"1";"";"";"";"";"4";
"741";"765";"1";"JEFE/A DEL SERVICIO DE AYUDAS GANADERAS";"";"";"José Ramón Pardo Berdún";"Edificio de la Plaza  San Pedro Nolasco";"Plaza San Pedro Nolasco, 7";"50071";"Zaragoza";"Zaragoza";"976715796   ";"";"";"";"";"1";"";"";"";"";"5";
"749";"773";"1";"JEFE/A DEL SERVICIO DE INDUSTRIALIZACIÓN AGROALIMENTARIA";"";"";"Fernando Calvo Tejedor";"Edificio de la Plaza  San Pedro Nolasco";"Plaza San Pedro Nolasco, 7";"50071";"Zaragoza";"Zaragoza";"976714695   ";"";"";"";"";"1";"";"";"";"";"6";
"753";"777";"1";"JEFE/A DEL SERVICIO DE CAZA, PESCA Y MEDIO ACUÁTICO";"";"";"Alberto Fernández-Arias Montoya";"Edificio de la Plaza  San Pedro Nolasco";"Plaza San Pedro Nolasco, 7";"50071";"Zaragoza";"Zaragoza";"976714000   ";"";"";"";"";"1";"";"";"";"";"7";
"758";"782";"1";"DIRECTOR DEL SERVICIO PROVINCIAL DE AGRICULTURA, GANADERÍA Y MEDIO AMBIENTE DE HUESCA";"";"";"Fernando Fidalgo Ciprés";"";"Plaza Cervantes, 1";"22071";"Huesca";"Huesca";"974293172   ";"";"";"";"";"1";"";"";"";"";"8";
"802";"826";"1";"JEFE/A DEL SERVICIO DE DROGODEPENDENCIA Y VIGILANCIA";"";"";"Antonio Canales Colas";"";"Vía Univérsitas, 36";"50017";"Zaragoza";"Zaragoza";"976715943   ";"";"";"";"";"1";"";"";"";"";"9";
"804";"828";"1";"JEFE/A DEL SERVICIO DE SEGURIDAD ALIMENTARIA, SALUD AMBIENTAL Y COORDINACIÓN";"";"";"Justo Ripalda Casasus";"";"Vía Univérsitas, 36";"50017";"Zaragoza";"Zaragoza";"976714317   ";"";"";"";"";"1";"";"";"";"";"10";
"807";"831";"1";"JEFE/A DEL SERVICIO DE PROGRAMAS DE ATENCIÓN Y APOYO A LA FAMILIA";"";"";"Eva Martínez Blasco";"";"Vía Univérsitas, 36";"50017";"Zaragoza";"Zaragoza";"976716716   ";"";"";"";"";"1";"";"";"";"";"11";
"808";"832";"1";"JEFE/A DEL SERVICIO DE PRESTACIONES Y CONTROL NORMATIVO Y ECONÓMICO";"";"";"Carolina Teresa Floria Guillera";"";"Vía Univérsitas, 36";"50017";"Zaragoza";"Zaragoza";"976714910   ";"";"";"";"";"1";"";"";"";"";"12";
"814";"838";"1";"DIRECTOR DEL SERVICIO PROVINCIAL DE SANIDAD, BIENESTAR SOCIAL Y FAMILIA DE ZARAGOZA";"";"";"José Antonio Amigot Lázaro";"Edificio del Paseo María Agustín";"Paseo María Agustín, 16";"50071";"Zaragoza";"Zaragoza";"976715279   ";"";"";"";"";"1";"";"";"";"";"13";
"166";"166";"1";"Director del Banco de Sangre y Tejidos ";"";"";"Luis Callén Sevilla";"";"Calle Ramón Salanova, 1";"50009";"Zaragoza";"Zaragoza";"976304445   ";"";"";"";"";"1";"";"";"";"";"14";
"167";"167";"1";"Director del Servicio Provincial de Salud y Consumo de Zaragoza ";"";"";"";"";"Avenida Cesáreo Alierta, 9-11";"50008";"Zaragoza";"Zaragoza";"976715243   ";"";"";"";"";"1";"";"";"";"";"15";
"168";"168";"1";"Director del Servicio Provincial de Salud y Consumo de Huesca ";"";"";"";"";"Calle San Jorge, 65";"22004";"Huesca";"Huesca";"974247234   ";"";"";"";"";"1";"";"";"";"";"16";
"169";"169";"1";"Director del Servicio Provincial de Salud y Consumo de Teruel ";"";"";"";"";"Ronda de la Liberación, 1";"44002";"Teruel";"Teruel";"978654010   ";"";"";"";"";"1";"";"";"";"";"17";
"170";"220";"1";"CONSEJERA ";"2008-04-16 00:00:00";"2011-07-16 00:00:00";"María Victoria Broto Cosculluela (desde el 16/04/2008)";"";"Calle Alcalde Gómez Laguna, 25";"50009";"Zaragoza";"Zaragoza";"976714000   ";"Nacida hace 51 años en Guaso (Huesca), hizo estudios de Psicología y Magisterio y ha ejercido como maestra durante 23 años. En el C.P. Puente Sardas de Sabiñánigo desempeñó las tareas de dirección desde 1987 hasta 1989, y desde 1999 hasta 2003 fue la jefa de estudios de este centro. Además, perteneció al Consejo Escolar de Aragón entre 2000 y 2003 y al Consejo del Centro de Profesores y Recursos de Sabiñánigo.<p>

Afiliada al PSOE desde 1982, ocupa la Secretaría de Educación, Cultura, Universidad e Investigación de la Comisión Ejecutiva Regional desde el año 2000. Fue concejal del Ayuntamiento de Sabiñánigo y primera teniente de alcalde en la legislatura 1999-2003. Ha sido presidenta de la Comarca del Alto Gállego.<p>

En la pasada legislatura autonómica fue directora general de Administración Educativa del departamento de Educación, Cultura y Deporte.<p>

Desde el 10 de julio de 2007 hasta el 15 de abril de 2008, ha sido consejera de Ciencia, Tecnología y Universidad.";"/server/ias/product/10.1.3/OracleAS_2/ohs/htdocs/organigrama/consejera_educacion_ficha.jpg";"consejera_educacion_ficha.jpg";"";"1";"";"";"";"";"18";
